GRID,1,,0,1,0
GRID,2,,0,0.75,0
GRID,3,,0,0.5,0
GRID,4,,0,0.25,0
GRID,5,,0,0,0
GRID,6,,0,0,0.25
GRID,7,,0,0,0.5
GRID,8,,0,0,0.75
GRID,9,,0,0,1
GRID,10,,0.25,1,0
GRID,11,,0.25,0.75,0
GRID,12,,0.25,0.5,0
GRID,13,,0.25,0.25,0
GRID,14,,0.25,0,0
GRID,15,,0.25,0,0.25
GRID,16,,0.25,0,0.5
GRID,17,,0.25,0,0.75
GRID,18,,0.25,0,1
GRID,19,,0.5,1,0
GRID,20,,0.5,0.75,0
GRID,21,,0.5,0.5,0
GRID,22,,0.5,0.25,0
GRID,23,,0.5,0,0
GRID,24,,0.5,0,0.25
GRID,25,,0.5,0,0.5
GRID,26,,0.5,0,0.75
GRID,27,,0.5,0,1
GRID,28,,0.75,1,0
GRID,29,,0.75,0.75,0
GRID,30,,0.75,0.5,0
GRID,31,,0.75,0.25,0
GRID,32,,0.75,0,0
GRID,33,,0.75,0,0.25
GRID,34,,0.75,0,0.5
GRID,35,,0.75,0,0.75
GRID,36,,0.75,0,1
GRID,37,,1,1,0
GRID,38,,1,0.75,0
GRID,39,,1,0.5,0
GRID,40,,1,0.25,0
GRID,41,,1,0,0
GRID,42,,1,0,0.25
GRID,43,,1,0,0.5
GRID,44,,1,0,0.75
GRID,45,,1,0,1
GRID,46,,1.25,1,0
GRID,47,,1.25,0.75,0
GRID,48,,1.25,0.5,0
GRID,49,,1.25,0.25,0
GRID,50,,1.25,0,0
GRID,51,,1.25,0,0.25
GRID,52,,1.25,0,0.5
GRID,53,,1.25,0,0.75
GRID,54,,1.25,0,1
GRID,55,,1.5,1,0
GRID,56,,1.5,0.75,0
GRID,57,,1.5,0.5,0
GRID,58,,1.5,0.25,0
GRID,59,,1.5,0,0
GRID,60,,1.5,0,0.25
GRID,61,,1.5,0,0.5
GRID,62,,1.5,0,0.75
GRID,63,,1.5,0,1
GRID,64,,1.75,1,0
GRID,65,,1.75,0.75,0
GRID,66,,1.75,0.5,0
GRID,67,,1.75,0.25,0
GRID,68,,1.75,0,0
GRID,69,,1.75,0,0.25
GRID,70,,1.75,0,0.5
GRID,71,,1.75,0,0.75
GRID,72,,1.75,0,1
GRID,73,,2,1,0
GRID,74,,2,0.75,0
GRID,75,,2,0.5,0
GRID,76,,2,0.25,0
GRID,77,,2,0,0
GRID,78,,2,0,0.25
GRID,79,,2,0,0.5
GRID,80,,2,0,0.75
GRID,81,,2,0,1
GRID,82,,2.25,1,0
GRID,83,,2.25,0.75,0
GRID,84,,2.25,0.5,0
GRID,85,,2.25,0.25,0
GRID,86,,2.25,0,0
GRID,87,,2.25,0,0.25
GRID,88,,2.25,0,0.5
GRID,89,,2.25,0,0.75
GRID,90,,2.25,0,1
GRID,91,,2.5,1,0
GRID,92,,2.5,0.75,0
GRID,93,,2.5,0.5,0
GRID,94,,2.5,0.25,0
GRID,95,,2.5,0,0
GRID,96,,2.5,0,0.25
GRID,97,,2.5,0,0.5
GRID,98,,2.5,0,0.75
GRID,99,,2.5,0,1
GRID,100,,2.75,1,0
GRID,101,,2.75,0.75,0
GRID,102,,2.75,0.5,0
GRID,103,,2.75,0.25,0
GRID,104,,2.75,0,0
GRID,105,,2.75,0,0.25
GRID,106,,2.75,0,0.5
GRID,107,,2.75,0,0.75
GRID,108,,2.75,0,1
GRID,109,,3,1,0
GRID,110,,3,0.75,0
GRID,111,,3,0.5,0
GRID,112,,3,0.25,0
GRID,113,,3,0,0
GRID,114,,3,0,0.25
GRID,115,,3,0,0.5
GRID,116,,3,0,0.75
GRID,117,,3,0,1
GRID,118,,3.25,1,0
GRID,119,,3.25,0.75,0
GRID,120,,3.25,0.5,0
GRID,121,,3.25,0.25,0
GRID,122,,3.25,0,0
GRID,123,,3.25,0,0.25
GRID,124,,3.25,0,0.5
GRID,125,,3.25,0,0.75
GRID,126,,3.25,0,1
GRID,127,,3.5,1,0
GRID,128,,3.5,0.75,0
GRID,129,,3.5,0.5,0
GRID,130,,3.5,0.25,0
GRID,131,,3.5,0,0
GRID,132,,3.5,0,0.25
GRID,133,,3.5,0,0.5
GRID,134,,3.5,0,0.75
GRID,135,,3.5,0,1
GRID,136,,3.75,1,0
GRID,137,,3.75,0.75,0
GRID,138,,3.75,0.5,0
GRID,139,,3.75,0.25,0
GRID,140,,3.75,0,0
GRID,141,,3.75,0,0.25
GRID,142,,3.75,0,0.5
GRID,143,,3.75,0,0.75
GRID,144,,3.75,0,1
GRID,145,,4,1,0
GRID,146,,4,0.75,0
GRID,147,,4,0.5,0
GRID,148,,4,0.25,0
GRID,149,,4,0,0
GRID,150,,4,0,0.25
GRID,151,,4,0,0.5
GRID,152,,4,0,0.75
GRID,153,,4,0,1
GRID,154,,4.25,1,0
GRID,155,,4.25,0.75,0
GRID,156,,4.25,0.5,0
GRID,157,,4.25,0.25,0
GRID,158,,4.25,0,0
GRID,159,,4.25,0,0.25
GRID,160,,4.25,0,0.5
GRID,161,,4.25,0,0.75
GRID,162,,4.25,0,1
GRID,163,,4.5,1,0
GRID,164,,4.5,0.75,0
GRID,165,,4.5,0.5,0
GRID,166,,4.5,0.25,0
GRID,167,,4.5,0,0
GRID,168,,4.5,0,0.25
GRID,169,,4.5,0,0.5
GRID,170,,4.5,0,0.75
GRID,171,,4.5,0,1
GRID,172,,4.75,1,0
GRID,173,,4.75,0.75,0
GRID,174,,4.75,0.5,0
GRID,175,,4.75,0.25,0
GRID,176,,4.75,0,0
GRID,177,,4.75,0,0.25
GRID,178,,4.75,0,0.5
GRID,179,,4.75,0,0.75
GRID,180,,4.75,0,1
GRID,181,,5,1,0
GRID,182,,5,0.75,0
GRID,183,,5,0.5,0
